#{"t_start": 1762037058.5871866, "env_id": "None"}
r,l,t
4582.853333,340,2.581195
892.462095,1760,5.769394
2994.067333,1095,7.966637
-6923.447524,2017,11.328046
4439.600381,420,12.477469
2773.575333,1041,14.571585
-5407.536,956,16.365163
4075.550667,414,17.530434
-4171.034571,795,21.809764
4464.996,340,22.906552
2988.710286,1109,25.256871
-4891.402667,1078,27.543955
-3180.98,791,29.294014
-5617.400286,1279,31.683648
3547.52,712,33.362789
-5270.098667,1822,36.435106
-5122.33,1059,41.044072
3673.891333,815,43.020471
-5431.065333,1632,45.414364
396.345333,1986,48.91496
4768.230667,340,50.014424
4281.064571,411,51.142134
-5500.315714,1091,53.393454
1921.742,1858,59.097871
2102.812667,1230,61.63663
3606.807333,833,63.449103
-4454.409333,998,65.610919
-5462.418667,1223,68.130092
3067.108,994,70.376136
2558.259619,1351,73.009226
-4702.825905,1429,78.132561
4540.204667,340,79.253358
2431.166476,1148,81.673882
1852.662667,1655,84.61294
2690.645619,1423,87.253502
4595.4,340,88.335531
-4510.216,944,90.407937
-5424.742667,1535,95.254636
2066.561333,1540,98.133145
-4930.802667,1377,100.691879
-4535.524667,858,102.573231
-7763.916381,2002,106.000023
2768.349333,964,108.041451
1729.172095,1726,113.395778
-5638.827333,1062,115.77985
-5372.584667,1222,118.241932
4412.292952,410,119.371855
-7635.42819,2454,123.271016
-4371.771333,690,125.000117
-4340.293333,617,126.690572
3659.16819,798,128.554852
3146.686667,1063,133.175858
-5105.945333,1225,135.588278
2278.508095,1446,138.219009
423.360857,2416,142.085062
3683.435333,644,143.684713
2552.434762,1142,145.954085
2757.952667,974,150.527527
4663.015333,340,151.613667
4257.839048,430,152.787583
3217.888,875,154.814886
-5094.392571,1142,157.050434
-5622.392667,1167,159.379682
2568.718667,1133,161.652785
-4867.336667,872,163.65332
4264.475619,424,164.789611
-7198.19181,1874,170.568709
-5756.39219,1440,173.233346
-4853.627333,1259,175.729258
4284.557619,410,176.891117
-4886.126,1024,179.215634
4444.724,340,180.294234
-5261.973333,1570,183.195755
4639.019333,340,184.260951
2700.146667,714,186.102654
