#{"t_start": 1762047345.979916, "env_id": "None"}
r,l,t
-2692.801364,1202,4.30041
-2168.933078,897,6.765152
-2817.080312,1433,9.903298
-3304.452468,1770,13.367866
-1502.072056,1254,15.666877
-2254.181133,860,17.592847
-3443.928344,1338,22.966072
-3219.630631,2076,26.366377
-4237.116655,2653,30.624437
-1716.698181,576,32.28448
-2441.07233,1078,34.194475
-4386.272517,2700,40.373048
-4421.558412,2161,44.009536
-2075.031402,871,45.803144
-2745.912952,1809,48.779939
-1835.901676,636,50.253822
-2605.276718,1070,54.625249
-2189.1124,1817,57.475253
-1854.957971,735,59.045303
1795.717118,340,60.189599
-1530.33667,1402,62.72111
-2652.145349,1455,65.237739
1039.507913,417,66.598995
-1858.687987,1285,69.062073
-2447.808508,953,73.561805
-2392.859477,1559,76.134817
-2928.586697,1675,78.668293
-2165.437599,875,80.348602
-3931.75892,2269,83.85632
-2998.00859,1874,89.305604
-4066.541161,2113,92.177497
975.330186,420,93.400807
-739.720783,1090,95.348318
-3238.175959,1682,98.042328
-2494.518438,1659,100.606006
-1704.485583,1197,105.130135
-3464.994085,2700,109.252692
-50.422656,1093,111.691837
-3018.629843,1347,114.744971
-2471.859284,1030,117.016715
917.152296,981,119.106303
1178.252615,340,120.309418
461.774435,1089,125.136288
880.24194,414,126.39155
-2283.886693,1078,128.591765
-2247.304224,921,130.285746
169.510514,1027,132.625845
-2767.339371,1152,135.274543
269.72849,896,137.36862
-1941.586597,802,139.385401
940.386181,663,141.083961
-2198.872436,1166,145.618032
1078.695726,961,147.804066
320.258353,1321,150.371343
-3.2013,951,152.44744
-3001.661034,1434,155.332219
-590.707762,1437,158.23642
-1334.40722,1784,164.228166
1168.501264,418,165.424809
-3023.428087,1362,168.243711
-2997.628279,1912,171.728524
1629.746374,340,172.871246
864.647765,424,174.169496
-2655.976605,1257,176.766805
-1824.925613,606,178.214256
-2185.645835,1395,183.478335
-1875.397318,1172,186.026845
1366.869953,340,187.156744
1323.910037,410,188.406225
-2144.141816,830,190.417862
-305.1066,1171,192.904115
18.041588,1062,195.242854
-158.433974,1169,197.8987
-2208.740401,876,199.577377
-2206.10392,991,204.304455
130.114952,912,206.385463
-3001.05959,1332,209.108363
-2961.120035,1397,211.824131
-2001.561552,842,213.806903
986.703687,631,215.511076
175.164907,945,217.695534
1218.065288,1061,220.001965
-2718.165893,1197,224.996682
1256.183426,340,226.252134
813.700824,414,227.608024
-2167.856152,897,229.723713
-1772.475936,694,231.619026
-1888.865055,787,233.810425
-2475.497506,1161,236.349542
621.114083,994,238.739621
1007.354611,425,239.947429
982.988353,414,241.200439
1391.746983,340,242.323105
-1087.103447,1040,247.133208
-2650.813207,1249,249.887844
-2110.647077,937,252.127625
-1931.167709,816,254.380122
