#{"t_start": 1762009495.4318776, "env_id": "None"}
r,l,t
951.189333,1383,10.747515
433.745333,1248,18.706593
1911.849333,2377,31.89205
3118.033333,2103,43.468272
895.238667,889,49.174756
1402.495333,1280,56.829376
480.610667,340,59.509412
825.327333,1503,67.782913
3428.803524,2700,82.439287
-819.194857,1513,91.125146
1674.827048,2187,103.355035
752.770667,340,106.313892
-1169.956667,656,110.640551
-628.975333,2700,125.079715
814.020667,1202,132.305331
969.64,1292,140.172097
1626.86419,2033,151.438481
2622.62581,2225,163.813039
2493.836667,1648,173.359259
1397.919333,1491,182.671493
979.438476,1028,188.797475
3194.556,2039,201.348783
136.247333,1113,207.985486
1109.68,1066,214.6729
-972.329333,708,219.226263
629.464,1891,229.897599
2346.375333,2101,241.500344
-165.458667,671,245.96842
556.362,414,249.045519
106.218095,1039,255.066468
798.068667,1662,263.550268
283.009333,1639,273.202995
1007.408667,2003,284.804588
170.063333,340,287.461935
2145.90181,2700,303.218989
1251.299143,1398,314.366167
449.612,340,317.155608
-498.896667,704,324.328487
3636.192667,2700,1439.454577
565.218667,340,1441.30232
1100.026667,1252,1448.890225
2775.145238,2539,1465.397641
-216.320857,423,1467.345339
392.837333,1910,1477.636615
348.272,841,1482.626307
583.938,1112,1488.957946
2220.821333,1683,1500.041334
2699.672762,2672,1518.252603
2684.916857,1947,1531.836568
1207.469333,918,1538.184412
1086.9,1204,1545.905974
365.294667,340,1547.675892
1971.778762,2254,1557.799178
633.11,340,1559.382788
2969.251714,1746,1567.542355
5616.326286,2700,1712.661268
-159.311333,994,1723.580484
2357.775333,2374,1748.817357
4208.894667,2316,1772.743623
741.357333,1008,1782.924603
2129.632476,2700,1809.362846
149.294667,340,1812.686218
-194.039333,839,1821.341993
1241.601333,1761,1838.015953
1763.817333,1724,1854.246808
462.440667,1280,1867.211773
1694.900095,1884,1885.203725
2622.385333,2137,1898.307095
14.438,414,1901.901207
1223.167333,1531,1916.68595
-306.647333,1246,1929.315095
-1080.027333,1240,1941.989228
136.572,578,1948.258365
504.348667,1142,1959.70075
3367.957714,2154,3452.957945
719.747333,1015,3457.032354
4300.674286,2700,3467.330891
45.22,698,3471.930843
1397.352667,1497,3484.099186
842.785333,340,3486.086135
608.917333,1638,3498.743636
1245.370667,1290,3508.025189
2880.955619,2169,3521.507464
-184.148,414,3523.751191
1051.049333,1087,3531.891938
785.355333,1031,3539.70522
314.668667,340,3541.657866
3410.362095,2260,3557.557103
265.625333,1200,3566.478539
2409.570667,2090,3580.121484
446.320667,965,3587.819994
1735.438,1353,3597.183424
2748.673619,1759,3607.191318
693.913333,991,3614.105321
1164.361714,1196,3620.926679
426.952667,999,3626.262397
783.281333,889,3631.176797
907.227333,1124,3636.761846
-78.121333,905,3642.499569
2342.723429,1872,3653.274575
2496.572667,1380,3660.133854
1104.836667,1702,3668.919419
-159.211333,1584,3677.743176
1117.014,1081,3681.511384
3462.373333,2700,3694.713465
518.038762,422,3696.669252
1982.502857,1718,3706.46233
698.959333,1100,3711.542839
801.553333,1577,3718.521229
-589.327333,845,3723.425395
453.88,1024,3729.012352
454.689714,1904,3740.813112
705.454,899,3747.195836
3612.768,2516,3763.020508
