#{"t_start": 1762046180.1279922, "env_id": "None"}
r,l,t
-4681.22573,2700,5.579201
-5937.668543,1681,8.358155
-6915.410196,2320,11.93508
4487.075017,414,13.207409
-5563.821447,1388,18.485843
-5085.011185,1450,20.967002
4403.342651,445,22.51465
-5498.97649,2000,26.371259
-5652.731165,2022,29.502633
-6190.031633,1727,32.259436
-6081.467159,2266,39.437421
-6319.803952,2291,42.47535
-5647.729644,1526,44.88022
-5294.617865,1426,47.464731
-4248.415057,782,51.754368
4692.23004,424,53.140907
-4252.53641,719,55.011058
-5082.689566,1471,57.604852
-5741.774512,1651,60.544391
-5775.655995,1565,63.225874
-5480.489686,2700,69.999046
-4862.168796,1053,72.269674
-4107.874046,2700,76.254569
-4278.860269,2700,80.253525
-8312.829606,2646,86.564299
-5299.416511,1869,89.260107
-5409.067089,1221,91.50597
-5787.644103,1983,94.340128
-6489.092666,1836,99.62939
-4772.669606,1247,101.798699
-6307.999531,1636,105.307054
-4327.040481,923,107.388942
-6321.363145,2125,110.358898
1627.039719,2067,116.599625
2946.126151,1308,119.192393
-4313.856929,823,121.168617
2114.512322,1673,124.450521
3457.956931,1233,127.10059
3608.040336,999,129.34634
-4974.145407,1196,131.749216
-5259.593305,1533,137.084451
-4312.592353,830,139.073975
3112.535776,1292,141.545296
-5161.498326,1373,144.262004
3522.64356,1199,146.727504
-4944.802053,1200,149.307033
-4604.36557,1137,151.796314
-4012.374422,630,155.921106
-3990.31626,690,157.61418
-5569.49037,1558,160.030468
-4404.474749,1524,163.088829
-4695.100826,915,165.35479
-4644.262857,1075,167.757969
-4772.641458,955,169.973584
-4467.963552,867,171.968244
3021.336247,1121,178.091531
-4447.588097,747,180.251554
-4696.241617,1002,182.455991
-4339.072345,1279,184.903084
4140.430374,940,186.960223
4661.529217,414,188.184277
-4617.389258,1035,190.358324
3569.793492,997,192.455968
-5279.123642,1358,197.636348
4348.306761,414,198.897202
-5306.03933,1398,201.739627
3529.80942,941,203.982633
2289.210459,1692,207.39216
-4254.740821,819,209.277568
4855.27623,500,210.828774
-4748.028001,1038,213.154077
2383.548137,1357,218.177564
-4532.952855,954,220.240577
2238.639713,1838,223.916229
4264.77187,414,225.246183
-5167.521222,1459,227.969146
4215.207385,1012,230.261013
-4197.087072,787,232.218356
-4456.29915,875,236.61039
-4644.379485,1082,239.024719
-4483.593633,869,241.124353
-4110.371438,628,242.944466
-5642.986301,1508,245.863732
4732.868372,414,247.14637
-5556.432181,1554,250.217979
4940.487301,340,251.337204
4501.778906,410,252.532894
3275.953492,1061,254.819648
-7159.362952,2649,260.930321
-4838.575124,1158,263.241863
3102.498828,1222,265.769012
3819.748673,862,267.76522
2581.933837,1563,270.750406
4844.169427,340,271.899509
-6076.920152,2035,278.039702
-4276.45355,720,280.017024
-4562.716865,856,282.145152
-4555.22217,977,284.356143
-5239.286208,1166,286.89255
-4081.582109,674,288.634829
4307.79359,414,289.818686
-4186.00061,2700,295.653607
-4416.562654,896,297.626708
-5363.84965,1470,300.498485
2547.480141,1704,303.961863
-4851.656392,1477,306.828274
-4777.599774,1193,309.381715
4722.328171,421,312.950709
-4782.013256,1038,315.138806
-5265.90132,1275,317.681134
3011.396023,1316,320.37927
3782.020109,864,322.395365
3714.391364,1015,324.745321
-5019.027623,1334,327.630357
4415.675185,425,328.862894
4212.744808,658,330.49777
-5626.538173,1865,335.650684
-5782.44237,2014,339.567009
-4337.906076,834,341.665608
-4582.972838,996,343.947565
-4979.861346,1215,346.395973
3109.761666,1492,351.603994
4077.067859,844,353.553578
3439.482525,1029,355.761828
-4117.475295,1005,357.866449
3503.913734,943,359.915214
-4474.495099,893,362.001105
