#{"t_start": 1762046180.1279922, "env_id": "None"}
r,l,t
-4572.949031,929,364.020614
-3876.011604,943,366.080843
-4960.553537,1014,368.361238
4877.63602,340,371.836571
4500.492353,420,373.005576
3970.745764,731,374.811644
4040.041222,805,376.679201
4573.563976,414,377.850006
-4427.977492,877,379.853036
-5542.964977,1629,382.96173
3280.660669,1231,385.416115
-4106.593632,687,387.105778
4837.494689,340,388.225177
-4237.450896,857,390.142521
4965.409443,340,393.608112
3999.679644,837,395.426394
3729.996878,827,397.34277
3655.288692,1135,399.68881
4301.911871,579,401.264614
-4087.721243,747,403.079238
-4071.512662,978,405.259812
-5150.723724,1412,407.927023
3863.442186,825,409.980804
-5100.759587,1393,415.085519
3229.771032,1224,417.652498
-4610.612213,939,420.065712
4504.022425,408,421.278563
-4422.350767,937,424.009978
3707.183618,780,426.785221
-4240.213419,1081,429.480187
3912.403175,841,432.331783
-4128.529575,707,434.457477
-5354.80653,1442,440.934906
-4299.234357,804,443.550064
-4593.245056,822,446.150267
3320.215702,1149,449.475185
3404.566556,969,452.306765
4997.97185,340,453.831152
4297.829723,666,456.245738
4887.972305,340,457.837667
-5236.192151,1207,461.262265
4485.357901,414,462.869183
4191.660343,668,467.911134
-5550.456141,1418,471.787896
3496.680507,923,474.685949
-4288.765587,751,477.194803
-5344.315883,1416,481.106367
3931.899459,817,483.711582
-5063.160548,1200,486.70333
-4103.720224,613,488.969141
3598.479008,985,494.153998
-4228.656217,916,496.473424
3785.279881,838,498.648011
4396.6364,414,500.100805
3635.818736,1008,502.58019
3613.245305,823,504.798797
3398.166767,963,507.164794
-4315.256148,809,509.363463
4255.940335,414,510.766863
-4464.037503,816,512.979289
4073.007013,720,517.619569
-5149.255582,1257,520.48454
-3957.280178,917,522.79535
3706.904689,967,525.209896
-4579.244045,877,527.188271
4324.882506,597,529.2365
3004.186332,1588,532.600119
2745.947213,1614,535.981587
3900.45161,884,540.942533
-4574.957692,908,543.317769
-4604.2193,912,545.254915
-5112.079851,1149,548.203629
