#{"t_start": 1761967588.997633, "env_id": "None"}
r,l,t
279.612381,976,5.33217
-3009.476,1454,9.259189
-442.706667,1228,12.773559
-1486.137333,975,15.773998
-1824.224,935,18.926969
-330.178667,340,20.501128
-4504.532762,2700,33.763038
-948.932667,1041,36.730318
-1500.273333,765,39.285237
-2509.382,1262,42.770119
-2182.76,1505,47.237823
-775.453333,414,49.373517
-2133.774667,1104,52.65158
-2599.174667,1318,55.975893
-749.108,414,65.115988
-1670.552,980,67.826418
-759.324,414,69.504093
-601.212,340,71.134387
-878.998667,1227,74.615444
-622.462667,934,77.49499
-2054.596667,978,80.965658
-1527.518,720,83.414953
-2819.288857,1357,87.084089
-2011.150667,1045,97.459731
-769.655333,741,100.103211
-2303.176667,1162,103.256294
-2014.525333,1025,106.057538
-413.216,1127,109.42607
-2301.27419,1183,112.522998
-1603.918667,878,115.186119
-3484.33,1767,119.624105
-2645.318667,1262,129.653609
231.852,842,132.418599
279.56,340,133.822535
-135.836,1026,137.000811
-2237.042,1136,140.812457
-775.777333,414,142.860158
-100.664,790,145.966508
-2375.170667,1141,149.866435
-1715.014667,815,152.538123
-2489.764667,1260,163.639721
-278.848,1358,167.232009
-378.864,1261,170.652366
-1436.193333,728,173.264687
-403.737333,340,174.725375
-1286.921333,594,176.853
-1682.873905,1865,181.299323
-743.504667,1053,184.28382
439.23,1064,195.545763
268.606667,340,197.072607
-630.7,946,200.952845
-303.598,1242,205.463513
-1640.567333,840,208.732207
-612.12,340,210.301198
-2455.752286,1179,214.220744
-3473.874,1666,220.590866
-780.208,414,222.539724
-3462.901333,2189,236.889396
-1693.699619,1165,240.17169
-1227.01,1106,242.568701
-192.188667,1007,251.300145
-1861.25,886,254.946911
-499.48,340,256.574151
-1466.854,750,259.057941
-1556.964381,815,268.717579
-621.878667,340,270.244045
-919.060667,1424,274.026342
-2365.194667,1139,277.181528
-758.368667,414,278.778262
-1426.751333,1321,282.353672
-770.548,414,283.922426
-3939.338,1903,288.116747
-375.804,340,289.636119
-1945.393333,984,300.032282
-601.08,896,302.815912
-390.481333,654,306.090441
-611.448,340,307.723134
-559.777333,340,309.160593
-2158.832,1035,312.1201
-2959.414667,1479,316.015541
-1204.360667,1021,319.67217
-1689.114667,796,323.029063
-2527.281333,1196,327.346725
-776.684,414,339.241834
-867.513333,1088,342.332244
587.224667,661,344.533213
-1785.178667,907,347.090945
-2756.058,1390,351.099057
-882.928667,1249,354.499356
-2072.689333,983,357.305652
-792.726762,425,359.061924
-682.141333,754,361.310053
-50.866667,914,370.906869
-1731.583333,1682,374.971213
-257.318,932,377.804269
-625.457333,905,380.726944
-856.814571,1825,385.248722
-775.913905,414,387.142699
612.528,824,392.42432
-2324.702571,1558,405.810799
-1951.627905,1226,409.523521
386.305333,747,412.316495
70.586667,862,415.335638
-1661.586667,861,418.7403
-1662.16,851,421.535486
283.841333,659,423.931964
695.037333,850,426.390981
-781.323333,414,427.951472
234.784,938,430.90259
-1782.32,910,443.378312
-837.174,1076,446.506958
-3009.341333,1435,449.844589
-1927.396667,906,452.914095
318.071333,340,454.458611
-1440.433524,733,456.964173
-2315.830667,1193,460.282987
-2343.815333,1206,463.916383
-2163.006667,1023,475.031772
-2594.95,1343,479.087844
803.854,1000,481.852121
291.127333,798,484.594435
595.431333,734,486.969976
-662.849333,1476,489.836401
-2934.832,1473,493.688658
572.623333,700,503.873372
-900.737238,1135,506.947301
-776.74,414,508.588642
-752.491333,1169,511.968953
-1956.504,918,515.121912
-1993.141333,1015,518.555863
123.724,340,520.655578
107.051333,875,523.534489
-2797.749333,1366,526.738809
241.576667,340,528.369689
-3929.43581,2080,542.881081
366.996667,897,545.766723
-91.928667,733,548.202975
-2471.990667,1256,551.619164
250.130762,752,553.999281
396.48,665,556.53359
-1355.762,627,558.749129
-2984.88819,1450,562.335845
579.307333,599,573.947071
531.002,561,576.936147
-972.326667,1545,581.02622
-804.775429,423,582.736231
-706.876,896,585.303481
489.134667,943,588.106949
-3394.016,1651,592.284388
-780.761333,414,593.919748
-1794.848667,929,596.496822
-29.806,676,606.427756
-2807.620667,1975,611.166622
-1714.821333,814,613.591045
-2036.596667,960,616.485615
-1919.048,918,620.095177
-2986.157333,1498,623.997508
-97.38,893,626.712164
-1466.722,741,640.085996
-1817.516,854,642.851938
466.535333,785,645.221863
-1716.716,875,647.881595
-1429.495333,737,650.431989
-2244.790667,1073,653.317636
-576.242667,1192,656.348498
-2865.573143,1449,660.321712
-1144.401333,598,662.526162
-1708.891333,893,672.096872
54.430667,1066,675.501117
-1600.834,817,681.491514
442.864667,707,685.869912
361.778667,647,690.285579
47.308,959,696.1203
184.541333,340,699.339561
-1990.121333,942,704.670714
-768.137048,410,707.451896
-2189.685714,1103,712.128763
-1774.993333,839,727.843395
360.806,756,731.415675
344.024,1112,743.830513
