#{"t_start": 1762006185.3957653, "env_id": "None"}
r,l,t
-2421.393333,1167,5.735655
-2414.705333,1859,9.114202
-1761.577333,1307,11.845052
-3796.701333,1843,15.402148
-2833.859333,1361,18.389103
-2498.065333,1206,28.829332
-2779.734,1666,32.123862
-758.144,880,34.528569
-2305.762667,1412,37.565444
-3052.588,1460,40.601664
-760.198667,414,42.122336
-802.584095,425,43.839236
-1844.493333,874,46.339134
-3169.135333,1525,56.82989
-3157.892667,1506,60.005034
-3521.321333,1714,63.335081
-819.261429,441,65.057055
-782.582,414,66.657712
-1922.425333,905,68.935256
-1050.518667,956,72.196068
-1880.885333,1294,84.947351
-1980.084667,929,87.68598
-352.322667,340,89.471366
-2699.479333,1285,92.156363
-1242.722,1045,97.16205
-2248.045333,1481,103.621747
-1453.956,1034,108.22701
-2870.34819,1610,114.663015
-403.298667,340,128.481813
-4572.373333,2254,132.937894
-1901.216667,905,136.156516
-3474.456,1690,140.025675
-775.668667,414,141.689734
-2029.202667,1236,144.382608
-797.882857,453,146.187057
-2476.068667,1194,156.968255
-2049.241619,1345,160.287501
-612.308,340,161.731868
-1863.246,1334,164.477242
-1311.622667,866,166.706585
-2373.666,1126,169.349862
-780.353333,414,171.004095
-1078.721333,1081,173.498877
-4739.950667,2546,184.9632
-2363.84,1145,188.287996
-1211.22,809,190.864323
-222.717333,340,192.322196
-1179.629333,618,194.450944
-2440.402667,1408,198.07217
-1664.418,843,200.656721
-371.077333,340,202.10743
-2139.264667,1232,205.468633
-760.314667,414,217.185193
-522.656667,654,219.275072
-1302.005333,594,221.307744
-750.258667,414,222.866651
-1953.301333,1212,226.02584
-1618.698667,1184,229.097926
-841.428,835,231.687077
-1065.638,1020,234.380295
-849.732667,649,236.545431
-1674.602667,845,239.149311
-757.52019,413,249.52384
-761.758476,422,251.322637
-1741.436667,891,253.913358
-1124.882,936,256.906518
-526.244,340,258.46351
-1591.411524,1448,262.058305
-1685.82,872,264.930984
-1084.667333,1047,268.052161
-1752.303524,906,270.928653
-1408.391333,730,273.541441
-1617.98,822,283.266495
-777.79781,417,284.843682
-2482.678,1195,288.014803
-1618.324,1300,291.340283
-985.191333,860,293.971628
-592.281333,340,295.436236
-1761.070667,896,297.993254
-1027.924,959,300.823665
-4343.147905,2176,314.440928
-1728.221333,1570,318.558356
